"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"148",148,"seq_6_Euphausiacea..2f9a3",1,0.000300870472496572,0.00804571835854648,0.0375077493749218,0.119190211984341,0.145728929473269,0.689672886306856,0,"1-2mm","predicted C1.T8.H10_S3"
"149",149,"seq_8_Calanoida.Metridia pacifica.3855b",1,0.000979080638711886,0.012958965580963,0.0400202842108987,0.0817182428199901,0.107467717559764,0.400023002104316,0,"1-2mm","predicted C1.T8.H10_S3"
"150",150,"seq_27_Calanoida.Pleuromamma.fa735",1,0.000897199933354064,0.0112370673923435,0.0329859031000014,0.0656651089615967,0.0809473389268566,0.338372463075539,0,"1-2mm","predicted C1.T8.H10_S3"
"151",151,"seq_22_Calanoida.Pleuromamma.a32d2",1,0.00187278644408178,0.0156231290771619,0.0373299083923195,0.0574213326806945,0.0779554624699121,0.225550727834671,0,"1-2mm","predicted C1.T8.H10_S3"
"152",152,"seq_15_Calanoida..6950a",1,0.000532489799130806,0.00735952909770022,0.0224586991697544,0.0525316469222005,0.0608070943105576,0.292494829164317,0,"1-2mm","predicted C1.T8.H10_S3"
"153",153,"seq_18_Calanoida.Calanus helgolandicus.78f54",1,0.000154881924323132,0.00303476878275947,0.0120948300967198,0.0372658378924375,0.0394298352844521,0.238591699284464,0,"1-2mm","predicted C1.T8.H10_S3"
"154",154,"seq_16_Calanoida.Metridia pacifica.6b976",1,0.000105999173118914,0.00220458243343507,0.0089429043263233,0.0277127239371602,0.0309535939134082,0.166941012243888,0,"1-2mm","predicted C1.T8.H10_S3"
"155",155,"seq_3_Calanoida.Metridia pacifica.21ed1",1,1.42177405767999e-05,0.000555681342343501,0.00315296033174968,0.0208462995040916,0.0149922033182779,0.163174535999083,0,"1-2mm","predicted C1.T8.H10_S3"
"156",156,"seq_14_Calanoida.Calanus.5c28f",1,0.000299746310848028,0.00313290700126732,0.00854725389655136,0.0145316382676023,0.0197063496574592,0.0627572948186502,0,"1-2mm","predicted C1.T8.H10_S3"
"157",157,"seq_23_Calanoida.Metridia pacifica.b0c15",1,0.000120324380559563,0.00144185005511191,0.0041338350749678,0.00851575661243399,0.0103867268820511,0.0427062825620266,0,"1-2mm","predicted C1.T8.H10_S3"
"158",158,"seq_20_Calanoida.Metridia pacifica.97d59",1,5.44648754506013e-05,0.000883013643133242,0.00302557809862609,0.00832737314793437,0.00881635991266249,0.0507407423263362,0,"1-2mm","predicted C1.T8.H10_S3"
"159",159,"seq_2_Calanoida.Rhincalanus.1c13e",1,1.40675632724932e-08,3.76810872639894e-06,5.32523578772142e-05,0.0058220836051978,0.000665419673901844,0.0452590903074261,0,"1-2mm","predicted C1.T8.H10_S3"
"160",160,"seq_5_Calanoida.Metridia pacifica.2cfd4",1,1.39912003383365e-05,0.000341926036989084,0.00136922958420975,0.00481360149100322,0.00469492267789587,0.0319336182532035,0,"1-2mm","predicted C1.T8.H10_S3"
